log_id,customer_id,timestamp,event_type,screen_name,duration_seconds,app_version,os
1,2924,2025-09-30 04:21:51,login,Home,529,2.0,Android
2,1321,2025-09-27 03:53:18,login,Product,547,1.2,Android
3,2861,2025-07-25 05:41:42,cart_add,Cart,249,2.0,Android
4,4041,2025-10-12 17:12:36,search,Cart,508,1.0,Android
5,1196,2025-07-29 15:04:34,logout,Profile,378,1.2,Android
6,3979,2025-07-23 08:51:40,login,Profile,363,1.2,Android
7,1322,2025-10-03 15:15:12,purchase,Profile,517,1.2,Android
8,1131,2025-12-13 09:02:49,browse,Checkout,313,2.0,Android
9,350,2025-08-01 05:51:57,logout,Checkout,64,2.0,Android
10,1627,2025-12-16 09:39:48,browse,Profile,587,1.1,Android
11,2562,2025-08-14 07:46:53,search,Home,366,1.2,Android
12,1675,2025-06-30 09:59:21,search,Checkout,533,1.0,Android
13,2906,2025-12-04 22:00:34,logout,Checkout,330,1.1,Android
14,2263,2025-08-15 22:11:51,cart_add,Profile,35,2.0,iOS
15,1545,2025-07-30 04:18:37,logout,Profile,525,1.0,iOS
16,2642,2025-10-01 11:22:28,login,Profile,69,1.1,Android
17,2201,2025-10-12 12:36:03,login,Product,55,2.0,Android
18,1426,2025-08-13 20:49:31,cart_add,Home,284,1.0,iOS
19,2121,2025-07-09 12:07:16,logout,Product,577,1.0,Android
20,113,2025-11-25 14:04:23,cart_add,Home,27,2.0,Android
21,3952,2025-11-15 17:15:28,search,Home,440,2.0,Android
22,832,2025-10-10 04:45:47,logout,Profile,404,1.1,iOS
23,1157,2025-07-19 09:56:59,cart_add,Home,63,1.0,iOS
24,1975,2025-07-21 14:47:22,logout,Checkout,302,2.0,iOS
25,3506,2025-07-05 17:08:55,cart_add,Profile,395,1.1,iOS
26,3509,2025-08-29 18:52:45,logout,Profile,427,2.0,Android
27,2977,2025-09-06 03:52:07,login,Home,588,2.0,iOS
28,891,2025-08-19 11:53:28,browse,Profile,326,2.0,iOS
29,1486,2025-07-15 16:11:32,purchase,Cart,469,1.2,iOS
30,4246,2025-09-23 14:34:57,login,Product,53,1.1,Android
31,3588,2025-07-28 05:13:31,cart_add,Checkout,438,1.2,Android
32,1493,2025-08-03 00:51:27,search,Checkout,413,1.1,Android
33,3162,2025-10-14 11:21:30,logout,Profile,375,2.0,Android
34,672,2025-09-15 10:41:30,cart_add,Profile,509,1.0,iOS
35,1852,2025-10-22 05:04:08,search,Cart,370,2.0,iOS
36,2755,2025-11-13 11:15:38,browse,Product,121,1.2,iOS
37,4470,2025-11-13 13:32:09,purchase,Cart,375,1.2,Android
38,2352,2025-12-26 00:28:25,search,Product,162,2.0,iOS
39,273,2025-10-28 13:56:56,purchase,Checkout,292,2.0,Android
40,421,2025-10-30 06:12:33,login,Cart,487,1.0,iOS
41,4599,2025-11-30 09:32:15,browse,Product,356,1.0,iOS
42,2634,2025-11-10 19:53:03,browse,Profile,99,1.0,iOS
43,530,2025-10-11 06:00:10,purchase,Checkout,68,1.2,Android
44,681,2025-10-03 04:55:26,search,Profile,63,1.0,Android
45,751,2025-11-30 07:36:35,cart_add,Checkout,339,2.0,iOS
46,2063,2025-10-14 02:34:43,logout,Checkout,280,2.0,iOS
47,3905,2025-08-22 20:28:12,purchase,Cart,514,1.1,Android
48,2108,2025-10-14 15:43:37,logout,Product,75,1.1,iOS
49,4602,2025-08-12 17:15:12,login,Product,519,1.0,iOS
50,4644,2025-07-27 19:58:12,logout,Cart,196,1.1,Android
51,3941,2025-11-01 21:38:56,purchase,Home,223,1.2,iOS
52,3260,2025-09-19 09:31:03,search,Product,384,1.2,iOS
53,3258,2025-12-26 18:18:40,login,Profile,135,2.0,iOS
54,914,2025-11-14 23:41:53,search,Checkout,146,1.1,iOS
55,1267,2025-12-26 21:23:11,search,Checkout,543,1.1,Android
56,343,2025-12-04 09:48:10,cart_add,Profile,409,2.0,Android
57,1984,2025-07-08 22:35:21,browse,Home,109,1.1,iOS
58,1769,2025-08-22 23:05:16,browse,Home,525,1.0,iOS
59,4402,2025-10-03 20:26:31,browse,Profile,25,2.0,Android
60,2183,2025-11-10 22:01:29,search,Product,95,1.2,Android
61,4044,2025-07-03 08:21:32,cart_add,Product,239,1.2,Android
62,1950,2025-07-26 21:44:03,login,Profile,142,1.1,iOS
63,898,2025-12-20 03:20:36,login,Home,566,1.1,iOS
64,252,2025-08-30 03:52:35,logout,Checkout,149,2.0,iOS
65,2648,2025-08-04 20:09:50,search,Home,173,1.2,iOS
66,3599,2025-12-16 06:47:28,login,Checkout,310,1.2,Android
67,522,2025-11-26 21:48:30,login,Checkout,469,1.0,iOS
68,3409,2025-09-09 20:13:49,login,Checkout,81,1.1,iOS
69,4470,2025-12-21 00:36:02,purchase,Checkout,317,1.2,Android
70,4605,2025-07-08 00:29:35,search,Home,207,1.0,iOS
71,3783,2025-10-14 04:31:19,purchase,Profile,560,1.0,iOS
72,4202,2025-08-08 15:55:43,login,Product,556,1.2,iOS
73,4803,2025-09-15 18:27:52,browse,Checkout,479,1.2,iOS
74,1979,2025-07-20 05:05:51,purchase,Profile,442,1.1,iOS
75,2388,2025-12-01 18:00:00,browse,Cart,224,1.2,Android
76,30,2025-08-18 00:03:01,login,Product,100,2.0,iOS
77,1356,2025-08-06 17:43:02,cart_add,Cart,532,1.0,Android
78,2373,2025-07-19 03:40:23,browse,Profile,90,1.1,Android
79,1640,2025-11-15 09:57:31,browse,Cart,334,1.1,Android
80,4384,2025-11-25 14:30:43,cart_add,Product,595,1.2,iOS
81,4152,2025-07-01 17:03:02,browse,Checkout,240,1.2,Android
82,1973,2025-11-13 06:37:15,login,Checkout,397,1.2,Android
83,1231,2025-12-24 03:06:00,search,Checkout,395,1.2,Android
84,242,2025-09-07 22:18:43,browse,Checkout,457,1.0,Android
85,20,2025-10-29 19:59:03,cart_add,Checkout,410,1.0,iOS
86,292,2025-11-27 22:20:54,cart_add,Product,147,1.1,Android
87,1896,2025-11-10 18:52:18,cart_add,Cart,341,1.0,Android
88,4967,2025-12-09 10:33:16,search,Checkout,563,1.1,iOS
89,715,2025-07-05 16:31:42,cart_add,Profile,386,1.2,Android
90,13,2025-10-22 05:56:47,logout,Checkout,321,1.1,iOS
91,2774,2025-12-21 15:14:20,cart_add,Profile,486,1.1,Android
92,3047,2025-12-10 12:27:05,purchase,Home,225,1.1,iOS
93,4563,2025-08-01 09:20:54,logout,Checkout,403,1.0,iOS
94,2982,2025-10-08 04:37:39,browse,Profile,181,2.0,Android
95,3849,2025-12-23 13:37:18,purchase,Home,253,2.0,iOS
96,4139,2025-08-09 04:14:42,cart_add,Cart,35,1.2,iOS
97,4132,2025-09-10 11:15:26,cart_add,Product,550,1.1,Android
98,1659,2025-09-08 21:27:14,browse,Profile,160,1.1,iOS
99,3145,2025-09-29 15:01:43,login,Home,335,1.0,Android
100,2460,2025-09-18 15:54:34,logout,Profile,411,1.0,iOS
101,2343,2025-12-25 07:14:23,logout,Checkout,516,2.0,iOS
102,4427,2025-11-21 17:01:13,search,Home,7,1.0,Android
103,3012,2025-08-03 12:49:02,purchase,Product,367,2.0,iOS
104,87,2025-09-17 14:03:47,login,Profile,296,1.2,Android
105,1543,2025-09-30 12:02:50,login,Checkout,128,2.0,Android
106,1695,2025-11-25 05:09:14,browse,Profile,526,1.0,Android
107,3968,2025-07-21 02:38:52,logout,Product,241,2.0,iOS
108,3717,2025-11-04 19:57:56,cart_add,Product,468,1.1,Android
109,834,2025-08-23 08:39:41,browse,Home,545,2.0,Android
110,2714,2025-08-19 18:52:58,purchase,Checkout,561,2.0,iOS
111,3989,2025-08-03 11:29:40,cart_add,Home,40,1.2,Android
112,1752,2025-12-17 23:22:26,logout,Home,466,1.0,iOS
113,4447,2025-08-02 18:26:09,purchase,Product,194,1.1,iOS
114,3316,2025-07-24 21:12:13,login,Product,350,2.0,Android
115,4312,2025-07-20 18:25:51,browse,Home,173,1.0,iOS
116,1689,2025-08-17 16:22:41,search,Cart,472,1.2,iOS
117,2687,2025-07-09 06:40:07,login,Product,18,1.1,iOS
118,2200,2025-10-26 09:29:25,cart_add,Profile,65,1.1,Android
119,1561,2025-09-05 00:18:58,search,Checkout,552,1.0,iOS
120,3140,2025-11-08 21:25:27,login,Cart,58,1.1,iOS
121,3125,2025-10-10 23:51:38,search,Checkout,377,2.0,Android
122,1206,2025-07-23 03:05:14,login,Checkout,155,1.0,Android
123,589,2025-07-31 21:31:25,cart_add,Cart,481,1.2,Android
124,3392,2025-10-22 08:20:46,cart_add,Home,34,1.2,iOS
125,4321,2025-11-10 13:12:28,search,Cart,120,1.2,iOS
126,3194,2025-08-04 23:11:55,login,Profile,53,1.1,iOS
127,2006,2025-09-12 07:34:41,browse,Home,319,2.0,iOS
128,676,2025-07-11 13:10:29,purchase,Profile,320,1.1,Android
129,1762,2025-09-17 00:33:55,search,Product,190,2.0,Android
130,4539,2025-12-05 05:58:44,logout,Cart,338,2.0,Android
131,1383,2025-09-29 01:06:30,cart_add,Cart,28,1.2,Android
132,1268,2025-08-01 17:30:19,cart_add,Home,356,1.2,iOS
133,3041,2025-11-19 10:47:12,purchase,Home,121,1.2,iOS
134,3308,2025-10-22 03:28:52,logout,Profile,270,1.1,iOS
135,4231,2025-09-18 07:01:42,search,Profile,414,1.2,iOS
136,3151,2025-07-08 02:27:04,login,Home,244,1.2,Android
137,3179,2025-11-29 07:17:25,logout,Cart,180,2.0,iOS
138,2231,2025-09-09 01:58:42,search,Product,290,2.0,Android
139,2958,2025-07-25 05:02:24,browse,Profile,253,1.0,Android
140,2503,2025-12-11 10:56:18,browse,Home,274,1.2,iOS
141,1614,2025-10-10 12:23:54,cart_add,Profile,306,2.0,Android
142,4602,2025-08-22 00:43:45,cart_add,Checkout,69,1.1,Android
143,4995,2025-11-03 23:26:48,purchase,Home,214,1.0,iOS
144,2045,2025-12-10 01:57:28,cart_add,Checkout,140,1.0,iOS
145,3771,2025-08-28 14:35:12,cart_add,Product,41,1.2,iOS
146,77,2025-12-17 13:20:50,logout,Checkout,468,1.2,iOS
147,4820,2025-12-04 11:38:14,cart_add,Profile,80,1.1,iOS
148,2810,2025-08-22 03:21:54,purchase,Checkout,397,1.0,iOS
149,3964,2025-11-09 08:32:17,search,Profile,442,1.2,iOS
150,2423,2025-09-18 09:01:26,logout,Product,14,1.1,iOS
151,2321,2025-10-20 18:56:09,login,Profile,10,1.2,Android
152,472,2025-11-17 14:17:36,purchase,Home,10,1.0,iOS
153,4897,2025-08-29 13:57:42,cart_add,Home,572,1.1,iOS
154,3538,2025-12-01 17:44:58,login,Profile,100,2.0,iOS
