transaction_id,customer_id,transaction_date,product_name,category,amount,quantity,payment_method,channel
1,4014,2025-04-16,Watch,Audio,982.94,1,PayPal,Online
2,3550,2024-10-03,Laptop,Electronics,932.53,4,PayPal,Online
3,3387,2025-03-28,Watch,Accessories,229.73,3,PayPal,Online
4,3492,2024-02-02,Speaker,Video,1540.42,1,Cash,Store
5,2484,2025-11-16,Speaker,Accessories,1292.06,3,Cash,Store
6,2209,2025-01-10,Headphones,Audio,329.31,2,Credit Card,Online
7,3981,2025-04-12,Keyboard,Video,775.32,2,Credit Card,Store
8,3038,2024-04-08,Charger,Electronics,1048.84,3,PayPal,Mobile App
9,3308,2024-06-02,Mouse,Electronics,50.4,2,PayPal,Store
10,2002,2025-12-13,Monitor,Video,1517.9,5,Debit Card,Mobile App
11,4072,2024-03-11,Laptop,Accessories,1955.13,1,PayPal,Mobile App
12,4538,2025-03-03,Camera,Electronics,845.26,4,Debit Card,Online
13,889,2025-02-27,Charger,Audio,1467.91,3,PayPal,Mobile App
14,1635,2024-09-26,Monitor,Video,1261.41,5,PayPal,Online
15,3113,2024-11-24,Headphones,Accessories,948.99,3,Credit Card,Store
16,2924,2025-06-19,Headphones,Video,948.05,3,Cash,Online
17,3530,2025-07-24,Laptop,Electronics,1915.43,1,Debit Card,Online
18,3365,2024-07-17,Headphones,Audio,1734.44,4,Credit Card,Online
19,4494,2025-06-10,Tablet,Accessories,888.15,2,Debit Card,Store
20,794,2025-11-05,Laptop,Video,82.87,4,Credit Card,Store
21,4823,2025-05-21,Headphones,Electronics,1780.71,3,Debit Card,Mobile App
22,974,2025-11-28,Watch,Video,196.09,5,Debit Card,Online
23,3900,2025-11-24,Keyboard,Accessories,1381.1,1,Cash,Online
24,3374,2024-08-18,Phone,Electronics,1776.06,5,Debit Card,Mobile App
25,2275,2024-11-10,Charger,Computing,10.18,3,Cash,Mobile App
26,1346,2023-12-29,Phone,Video,63.53,1,PayPal,Online
27,1410,2024-01-20,Headphones,Electronics,1646.4,2,Debit Card,Online
28,1620,2024-12-20,Speaker,Electronics,273.93,4,Debit Card,Mobile App
29,1102,2024-09-17,Charger,Accessories,72.67,3,PayPal,Mobile App
30,3538,2025-03-19,Phone,Accessories,316.32,4,Cash,Online
31,1404,2025-11-23,Keyboard,Accessories,755.33,4,Credit Card,Online
32,1291,2025-10-07,Tablet,Audio,431.45,1,Cash,Online
33,1362,2024-07-18,Keyboard,Video,539.62,5,PayPal,Store
34,1290,2024-06-23,Mouse,Video,1659.26,5,Debit Card,Store
35,3481,2024-07-15,Speaker,Computing,352.55,3,PayPal,Mobile App
36,1755,2024-11-23,Laptop,Accessories,1853.16,4,PayPal,Store
37,4387,2025-12-18,Phone,Video,935.09,1,Debit Card,Online
38,1883,2024-12-16,Keyboard,Electronics,1476.64,5,Cash,Store
39,4757,2024-04-19,Tablet,Electronics,1427.77,5,Debit Card,Mobile App
40,1899,2024-01-29,Headphones,Electronics,1599.9,5,Credit Card,Online
41,4416,2025-11-02,Camera,Video,1109.03,5,Credit Card,Store
42,2140,2025-12-04,Tablet,Accessories,670.83,1,Cash,Store
43,1682,2025-10-22,Headphones,Electronics,288.03,5,Debit Card,Mobile App
44,3624,2024-03-07,Charger,Video,152.16,1,PayPal,Store
45,1349,2024-05-17,Camera,Electronics,1365.86,1,Credit Card,Online
46,199,2024-04-20,Charger,Electronics,1727.14,1,PayPal,Online
47,4800,2024-02-20,Charger,Accessories,171.32,4,Credit Card,Store
48,4416,2025-02-27,Laptop,Video,1298.62,1,Debit Card,Store
49,2563,2024-03-06,Phone,Video,764.3,3,PayPal,Store
50,1305,2025-10-19,Tablet,Video,179.23,5,Cash,Store
51,4024,2025-03-27,Phone,Accessories,1049.22,2,PayPal,Mobile App
52,348,2025-03-28,Speaker,Electronics,635.09,5,Cash,Store
53,216,2025-10-11,Laptop,Electronics,97.85,3,Debit Card,Store
54,2830,2025-02-15,Phone,Computing,1276.97,5,PayPal,Mobile App
55,1229,2025-11-19,Mouse,Electronics,816.31,2,Cash,Online
56,2208,2025-07-31,Camera,Computing,1028.25,1,PayPal,Store
57,1395,2025-01-18,TV,Electronics,1572.43,5,Credit Card,Mobile App
58,3849,2025-09-24,Headphones,Accessories,115.54,4,Cash,Mobile App
59,2909,2024-11-21,Laptop,Video,1575.18,5,Debit Card,Online
60,529,2025-08-31,Laptop,Electronics,130.82,4,PayPal,Mobile App
61,1018,2025-05-18,Keyboard,Electronics,1781.51,3,PayPal,Mobile App
62,1454,2024-10-10,Speaker,Audio,1099.48,2,Debit Card,Store
63,1538,2025-08-24,Phone,Audio,1061.36,3,Debit Card,Online
64,537,2024-05-26,TV,Video,291.59,3,Debit Card,Mobile App
65,4682,2025-10-03,Monitor,Computing,1293.92,4,PayPal,Online
66,170,2025-04-20,TV,Accessories,493.01,3,Cash,Online
67,853,2025-04-22,Watch,Electronics,626.07,4,Credit Card,Store
68,2389,2024-07-20,Monitor,Audio,1891.45,2,PayPal,Store
69,2381,2025-03-17,Laptop,Accessories,1733.88,4,Debit Card,Mobile App
70,3024,2024-06-10,Monitor,Accessories,686.46,3,Debit Card,Mobile App
71,191,2025-06-12,Speaker,Audio,1340.64,3,Cash,Store
72,2381,2025-01-27,Keyboard,Video,1030.83,1,Debit Card,Mobile App
73,893,2024-07-28,Keyboard,Video,743.06,5,Debit Card,Store
74,2717,2024-04-02,Tablet,Audio,1453.73,5,Credit Card,Mobile App
75,2785,2024-08-04,Monitor,Electronics,84.71,3,Debit Card,Online
76,1771,2025-08-21,Camera,Accessories,425.78,5,PayPal,Mobile App
77,2582,2024-02-03,Phone,Audio,1768.13,2,Debit Card,Online
78,738,2025-04-10,Mouse,Audio,198.2,5,Cash,Mobile App
79,1014,2024-12-03,Mouse,Accessories,1093.31,2,Credit Card,Mobile App
80,1622,2024-06-26,Tablet,Audio,990.24,3,Debit Card,Online
81,3332,2024-10-05,Charger,Electronics,1711.08,1,Cash,Store
82,3190,2024-09-13,Keyboard,Audio,199.66,5,Credit Card,Online
83,1515,2025-04-13,Laptop,Electronics,425.32,5,Credit Card,Store
84,3400,2025-11-02,Tablet,Video,232.91,5,Credit Card,Online
85,3091,2025-03-03,Monitor,Audio,674.37,3,PayPal,Mobile App
86,981,2025-02-20,TV,Electronics,1921.13,5,Debit Card,Store
87,3014,2025-07-27,Camera,Accessories,1223.39,1,Credit Card,Store
88,4946,2024-06-04,Phone,Video,151.12,5,PayPal,Online
89,4418,2024-01-22,Headphones,Audio,591.56,5,Cash,Store
90,217,2025-04-17,TV,Accessories,1177.25,2,Debit Card,Online
91,4970,2024-02-01,Tablet,Electronics,1207.91,2,Cash,Store
92,2746,2024-04-13,Phone,Electronics,682.01,3,Credit Card,Mobile App
93,2409,2025-07-17,Keyboard,Audio,268.8,1,PayPal,Mobile App
94,175,2024-12-25,Camera,Accessories,1558.26,4,Cash,Store
95,3567,2025-05-23,Charger,Electronics,1932.91,5,Credit Card,Online
96,1056,2024-08-28,Laptop,Electronics,858.77,2,Credit Card,Mobile App
97,1665,2025-11-15,TV,Video,729.03,1,Credit Card,Store
98,1262,2024-01-18,Phone,Computing,1372.97,2,Credit Card,Online
99,1791,2024-05-31,Camera,Computing,515.51,1,Cash,Mobile App
100,4508,2024-12-07,Mouse,Electronics,374.97,4,Cash,Store
101,4599,2024-05-08,Tablet,Video,1291.86,2,PayPal,Store
102,331,2024-04-30,Watch,Video,240.5,1,Cash,Online
103,2807,2025-02-24,Speaker,Video,603.9,5,Debit Card,Store
104,378,2025-04-26,Monitor,Computing,431.8,5,Credit Card,Online
105,840,2025-06-16,Speaker,Electronics,1337.38,5,Credit Card,Mobile App
106,3017,2024-07-04,Mouse,Electronics,1986.45,3,PayPal,Mobile App
107,1490,2024-10-06,Charger,Audio,1870.57,3,Debit Card,Store
108,4898,2024-08-05,Mouse,Audio,1415.26,5,Cash,Mobile App
109,2429,2025-02-15,Monitor,Video,1662.26,5,Cash,Online
